index,text,user,index_column
0,"If we are all here, let's get started. First of all, I'd like you to please join me in welcoming Jack Peterson, our Southwest Area Sales Vice President.",Meeting Chairman,0
2,"Thank you for having me, I'm looking forward to today's meeting.",Jack Peterson,1
4,I'd also like to introduce Margaret Simmons who recently joined our team.,Meeting Chairman,2
6,"May I also introduce my assistant, Bob Hamp.",Margaret Simmons,3
8,"Welcome Bob. I'm afraid our national sales director, Anne Trusting, can't be with us today. She is in Kobe at the moment, developing our Far East sales force.",Meeting Chairman,4
10,"Let's get started. We're here today to discuss ways of improving sales in rural market areas. First, let's go over the report from the last meeting which was held on June 24th. Right, Tom, over to you.",Meeting Chairman,5
12,"Thank you Mark. Let me just summarize the main points of the last meeting. We began the meeting by approving the changes in our sales reporting system discussed on May 30th. After briefly revising the changes that will take place, we moved on to a brainstorming session concerning after customer support improvements. You'll find a copy of the main ideas developed and discussed in these sessions in the photocopies in front of you. The meeting was declared closed at 11.30.",Tom Robbins,6
14,"Thank you Tom. So, if there is nothing else we need to discuss, let's move on to today's agenda. Have you all received a copy of today's agenda? If you don't mind, I'd like to skip item 1 and move on to item 2: Sales improvement in rural market areas. Jack has kindly agreed to give us a report on this matter. Jack?",Meeting Chairman,7
16,"Before I begin the report, I'd like to get some ideas from you all. How do you feel about rural sales in your sales districts? I suggest we go round the table first to get all of your input.",Jack Peterson,8
18,"In my opinion, we have been focusing too much on urban customers and their needs. The way I see things, we need to return to our rural base by developing an advertising campaign to focus on their particular needs.",John Ruting,9
20,I'm afraid I can't agree with you. I think rural customers want to feel as important as our customers living in cities. I suggest we give our rural sales teams more help with advanced customer information reporting.,Alice Linnes,10
22,"Excuse me, I didn't catch that. Could you repeat that, please?",Donald Peters,11
24,I just stated that we need to give our rural sales teams better customer information reporting.,Alice Linnes,12
26,I don't quite follow you. What exactly do you mean?,John Ruting,13
28,"Well, we provide our city sales staff with database information on all of our larger clients. We should be providing the same sort of knowledge on our rural customers to our sales staff there.",Alice Linnes,14
30,"Would you like to add anything, Jennifer?",Jack Peterson,15
32,I must admit I never thought about rural sales that way before. I have to agree with Alice.,Jennifer Miles,16
34,"Well, let me begin with this Power Point presentation (Jack presents his report). As you can see, we are developing new methods to reach out to our rural customers.",Jack Peterson,17
36,I suggest we break up into groups and discuss the ideas we've seen presented.,John Ruting,18
38,"Unfortunately, we're running short of time. We'll have to leave that to another time.",Meeting Chairman,19
40,"Before we close, let me just summarize the main points:",Jack Peterson,20
47,"Thank you very much Jack. Right, it looks as though we've covered the main items Is there any other business?",Meeting Chairman,21
49,"Can we fix the next meeting, please?",Donald Peters,22
51,"Good idea Donald. How does Friday in two weeks time sound to everyone? Let's meet at the same time, 9 o'clock. Is that OK for everyone? Excellent. I'd like to thank Jack for coming to our meeting today. The meeting is closed.",Meeting Chairman,23
52,"Hi, I am Tom.",Tom,24
54,I am Ana.,Ana,25
56,"This is a pretty good seminar so far, huh?",Tom,26
58,"Yes, I like it. Prentice Hall always delivers good seminars. All of its speakers are very well-known and also very knowledgeable in the subject matter. Did you attend the seminar on Leadership in Long Beach last January?",Ana,27
60,"No, I missed that one. Who was the speaker?",Tom,28
62,John Miller. He is the author of The Seven Habits of a Good Leader. It was a great seminar. John gave us tons of information on how to deal with employees. You should sign up for that seminar next year.,Ana,29
64,"I will. I am very interested in the subject of Leadership. I was promoted to the position of Supervisor a few months ago, and I have to manage a staff of ten people. It can be quite a difficult situation sometimes. It is the reason why I am here today.",Tom,30
66,"Same here. I only have seven people reporting to me; yet, sometimes I feel like pulling my hair out. I need to find a way to create harmony and cooperation within my department.",Ana,31
68,I also need to learn how to better manage my workload. I always run out of time. It seems like the days are getting shorter and shorter.,Tom,32
70,You need to sign up for the Learn How To Delegate seminar. It is coming next month.,Ana,33
72,Let's see whether I will have any free time next month. I know sometime next month I will have to go to Texas on a business trip.,Tom,34
74,"By the way, what is your company doing?",Ana,35
76,"Oh, we produce office equipment such as calculators and fax machines. How about yours?",Tom,36
78,We are in the service business. We specialize in repairing computers.,Ana,37
80,How was business lately?,Tom,38
82,"It is pretty slow right now. Just like any other company, we are quite affected by this slowing economy.",Ana,39
84,"Business is slow with my company too. However, people are saying that it should pick up any time now.",Tom,40
86,Let's hope so. We need to keep our employees busy.,Ana,41
88,"I have some very talented employees, and I would like to keep their minds sharp. They tend to be bored when things slow down, and that is not good.",Tom,42
90,"Yes, nothing is more frustrating than sitting idle with nothing to do. The days seem so long.",Ana,43
92,"I hate those types of days. Luckily, it is not that bad in our company. Besides, we are in the process of updating our computer system, and we can use this slow period to finish the process.",Tom,44
94,"Good for you. Oh, 10:30 AM already. I guess our break-time is over.",Ana,45
96,"The topic of the next session, How To Make Positive Impression On Others And Gain Visibility And Influence In The Workplace, seems to be really interesting. We better not miss any part of it. Lets get back to our seats so that we can learn how to bring out the best in ourselves as well as our employees.",Tom,46
97,"Lynn, please come to my office. I just received a revised purchase order from one of our customers.",Jane,47
99,I am here.,Lynn,48
101,"Lynn, remember the order we received from Colours House two weeks ago?",Jane,49
103,The one for a lot of 500 oak wood windows?,Lynn,50
105,"Yes, that is the one. Did we start production on it yet?",Jane,51
107,"I do not think so since we do not have to make delivery until the twentieth of this month, another fifteen days.",Lynn,52
109,Good. I just received a revised order from its Purchasing department. They want pine wood instead of oak wood.,Jane,53
111,We have already ordered the oak wood from Lumber House. It will cost us more if we put in a change of order now.,Lynn,54
113,Don't worry. Colours House is willing to pay an extra twenty-five percent for the change.,Jane,55
115,It is OK then. When do we have to ship the order? Is it still due on the twentieth?,Lynn,56
117,"No, they gave us extra time to fill the new order. It is not due until the twenty-fifth of the month now.",Jane,57
119,"Did they change the shipping terms? Do we still have to deliver the order, or will they come here to pick it up?",Lynn,58
121,"We still have to take care of the shipping process, and it is still going to Chicago.",Jane,59
123,Then I do not have to make any shipping changes other than changing the pickup date.,Lynn,60
125,"I think you should put a call in to Trucking Lines as soon as possible. The thirtieth of this month is a major holiday, and its shipping schedule is going to be very tight.",Jane,61
127,"True, they might not accommodate our change if they receive our notice too late.",Lynn,62
129,"Oh, here is the change of order from Colours House. You can sign and fax it back to them after reviewing it.",Jane,63
131,I better give a copy of this new order to our Production department. They need to be aware of the change.,Lynn,64
133,How is our Production department doing?,Jane,65
135,It is running on a very tight schedule. We received quite a few orders lately.,Lynn,66
137,I bet all the customers want their orders now or as soon as possible. The Production department will have to work a lot of overtime this month.,Jane,67
139,Overtime already started last week with all the employees in the Assembly department working an average of two hours overtime per day.,Lynn,68
141,I hope the customers appreciate our quick response time and the fact that we always jump through hoops to give them whatever they want.,Jane,69
143,"It does pay to keep up with the customers' demand. Everybody likes our products and services. Even though it is sometimes very difficult to please everybody, it is fine with me because I love this company, and I want to see it prosper.",Lynn,70
145,"We can take pride in a job well done. Besides, it makes our job easier also.",Jane,71
147,"Yes, I would not like to hear people complain. I would hate to deal with unhappy customers.",Lynn,72
149,It is really stressful to deal with unhappy customers. I doubt that I will be able to relax even when I get home at the end of the day.,Jane,73
151,"Me neither. OK, everything is set. I will call Colours House and tell them everything is set to go.",Lynn,74
153,"Thanks for your help, Lynn.",Jane,75
155,"You are welcome, Jane.",Lynn,76
