index,text,end,start,user,index_column
0,"Okay, so we're recording. We're streaming",00:00:07.410,00:00:04.859,Andrew Knight,0
1,We have that setup. Okay.,00:00:12.990,00:00:09.540,Andrew Knight,1
2,It's like Mary Kate's here. I'll let her in.,00:00:17.760,00:00:15.630,Andrew Knight,2
3,Gonna make her a host to,00:00:21.240,00:00:19.980,Andrew Knight,3
4,She just got back from a vacation or something.,00:00:26.070,00:00:24.000,Paul McCartney,4
5,Mary Kate.,00:00:27.870,00:00:27.330,George Harrison,5
6,I think she was on a vacation for a while.,00:00:31.110,00:00:28.560,George Harrison,6
7,"Oh, nice. See how that one.",00:00:33.630,00:00:31.650,Ringo Starr,7
8,"America, Kate.",00:00:38.100,00:00:37.560,Andrew Knight,8
9,"Hi, how's it going good.",00:00:41.190,00:00:39.480,John Lennon,9
10,It's everything good to go.,00:00:43.950,00:00:42.930,John Lennon,10
11,Thanks. So great.,00:00:45.990,00:00:44.790,George Harrison,11
12,"Yeah, I can start letting people in if that's",00:00:49.350,00:00:46.740,Andrew Knight,12
13,That's useful. Yeah.,00:00:53.070,00:00:50.880,Andrew Knight,13
14,Whatever you whatever is easiest for you.,00:00:55.740,00:00:53.760,John Lennon,14
15,So pop up screen that I saw why I said I liked the pop up screen that I saw before I got in. I had seen that before.,00:01:04.200,00:00:56.820,John Lennon,15
16,What was it,00:01:05.370,00:01:04.860,Andrew Knight,16
17,It said host is waiting to let you in. And it said like the name of the event.,00:01:10.260,00:01:05.490,John Lennon,17
18,Okay.,00:01:11.700,00:01:11.400,Andrew Knight,18
19,So we will. I'll do just a brief.,00:01:18.300,00:01:15.270,Andrew Knight,19
20,Brief very brief intro because I baked. A lot of it into the pre set slide that will circulate throughout. So I'll just do a brief very brief intro before I intro you throw it over to you and you can share your screen then and and dive in. Awesome. Thanks. Okay.,00:01:36.570,00:01:19.560,Andrew Knight,20
21,Do you need to look at that. That select part of a screen for your PowerPoint again.,00:01:41.490,00:01:36.780,Paul McCartney,21
22,I think I did. Let me just try share screen. Yeah.,00:01:45.600,00:01:41.790,Paul McCartney,22
23,It's not good.,00:01:48.630,00:01:48.030,Paul McCartney,23
24,Yeah.,00:01:50.670,00:01:50.220,John Lennon,24
25,And it works. You're seeing it move,00:01:53.790,00:01:51.750,Paul McCartney,25
26,"Yep, yep. It looks great there you",00:01:57.270,00:01:54.690,John Lennon,26
27,Go back to the original,00:01:58.740,00:01:57.450,Paul McCartney,27
28,"All right, Mary Kate, if anything goes off, I'll be watching the chat if you just text me or like enter anything into the chat there that needs to",00:02:15.960,00:02:05.670,Andrew Knight,28
29,Be adjusted,00:02:16.770,00:02:16.110,Paul McCartney,29
30,"Like private someone cell phone, just in case.",00:02:19.860,00:02:16.830,Paul McCartney,30
31,Something goes horribly wrong.,00:02:21.540,00:02:20.220,Paul McCartney,31
32,"Yep. Oh. Enter mine in a direct private chat, just so that it's always there for you. Thanks.",00:02:28.890,00:02:22.440,Andrew Knight,32
34,And I have that sitting here.,00:02:36.660,00:02:35.340,Andrew Knight,33
35,Too. I'm just gonna call that number so that you have it 321-584-0624. Awesome. Thanks.,00:02:45.630,00:02:36.960,Paul McCartney,34
36,So were you the 917,00:02:47.640,00:02:46.500,Andrew Knight,35
38,"Alright, so I'm gonna let people in",00:02:52.260,00:02:50.670,Andrew Knight,36
39,"Hello everyone. Welcome, welcome to our program this afternoon or this evening or this morning, depending on where you're joining us from",00:10:25.080,00:10:15.210,Andrew Knight,37
40,You are more than welcome. Of course to unmute your video if you want to join the session and have a presence here with us if that's possible. It's always a wonderful way to build the community.,00:10:36.450,00:10:25.830,Andrew Knight,38
41,My name is Andrew night. I'm a professor of organizational behavior in Olin business school. And I'm also the academic director of lifelong learning.,00:10:45.120,00:10:36.870,Andrew Knight,39
42,"And if there's one thing I've learned so far from online teaching it is that there is enormous value in having the community that you're a part of right there in front on the screen. And so if you aren't too shy to broadcast your video, please do so.",00:11:01.830,00:10:45.300,Andrew Knight,40
43,We have an outstanding program ahead. And so I just want to take a couple of minutes here at the outset.,00:11:08.910,00:11:02.430,Andrew Knight,41
44,To share with you how this program fits into some of the goals and the work that we're doing.,00:11:15.150,00:11:09.240,Andrew Knight,42
45,"for lifelong learning and so let me just share a couple of slides at the outset, before we welcome Professor liberty visitors who is going to be",00:11:24.180,00:11:15.480,Andrew Knight,43
46,Sharing her expertise and knowledge with us today. As you may or may not know Olin lifelong learning is an initiative.,00:11:33.450,00:11:24.600,Andrew Knight,44
47,That is specifically focused on providing opportunities for alumni to engage in continuous development and the rationale for this initiative.,00:11:42.990,00:11:33.930,Andrew Knight,45
48,Is very much the fact that we make a promise in our vision and our mission statement to provide a return on investment for alumni over the course of their entire careers. And so that's what we are.,00:11:57.030,00:11:43.530,Andrew Knight,46
